A1(49),T1(40),A3 1(10),A3 2(10),T2(33),A2(25),A4(Bonus) (10),A1(5%),A2(5%),A3(5%),A4(3%),T1(12.5%),T2(12.5%),Q1(27),Q2(27),Q3(16),Final(70),Scaled Final(60%),Total Score(100%)
14,23,7,10,19,19,8,1.428571429,3.8,4.25,2.4,7.1875,7.196969697,22,24,7,53,45,72
43,18,7,10,7,23,,4.387755102,4.6,4.25,0,5.625,2.651515152,26,17,15,58,50,71
35,15,8,10,4,20,,3.571428571,4,4.5,0,4.6875,1.515151515,27,22,4,53,45,64
41,14,7,8,19,20,,4.183673469,4,3.75,0,4.375,7.196969697,14,18,14,46,39,63
19,22,7,6,21,20,,1.93877551,4,3.25,0,6.875,7.954545455,19,12,14,45,39,63
32,15,7,8,8,20,,3.265306122,4,3.75,0,4.6875,3.03030303,13,25,13,51,44,62
41,22,7,8,10,20,,4.183673469,4,3.75,0,6.875,3.787878788,12,20,13,45,39,61
33,15,8,10,9,20,,3.367346939,4,4.5,0,4.6875,3.409090909,13,26,6,45,39,59
42,20,8,8,16,19,,4.285714286,3.8,4,0,6.25,6.060606061,17,17,4,38,33,57
34,21,5,10,22,19,,3.469387755,3.8,3.75,0,6.5625,8.333333333,8,18,6,36,31,57
41,23,8,8,8,19,,4.183673469,3.8,4,0,7.1875,3.03030303,16,13,10,39,33,56
35,27,7,10,4,19,,3.571428571,3.8,4.25,0,8.4375,1.515151515,18,14,7,39,33,55
40,12,9,0,5,15,,4.081632653,3,2.25,0,3.75,1.893939394,18,21,7,46,39,54
29,16,8,10,13,19,,2.959183673,3.8,4.5,0,5,4.924242424,15,15,6,36,31,52
19,19,0,0,17,17,,1.93877551,3.4,0,0,5.9375,6.439393939,15,12,13,40,34,52
1,11,8,10,8,19,,0.102040816,3.8,4.5,0,3.4375,3.03030303,26,11,5,42,36,51
31,11,8,10,12,20,,3.163265306,4,4.5,0,3.4375,4.545454545,9,20,1,30,26,45
38,31,7,0,15,19,,3.87755102,3.8,1.75,0,9.6875,5.681818182,3,14,6,23,20,45
29,6,7,4,11,17,,2.959183673,3.4,2.75,0,1.875,4.166666667,17,13,3,33,28,43
24,28,9,0,8,0,,2.448979592,0,2.25,0,8.75,3.03030303,8,12,11,31,27,43
35,13,8,0,6,18,,3.571428571,3.6,2,0,4.0625,2.272727273,16,10,6,32,27,43
26,12,7,0,8,19,,2.653061224,3.8,1.75,0,3.75,3.03030303,8,12,11,31,27,42
35,11,8,10,7,19,,3.571428571,3.8,4.5,0,3.4375,2.651515152,10,12,4,26,22,40
26,13,7,0,7,19,,2.653061224,3.8,1.75,0,4.0625,2.651515152,8,11,10,29,25,40
22,12,5,0,10,0,,2.244897959,0,1.25,0,3.75,3.787878788,17,7,6,30,26,37
46,12,5,10,10,19,,4.693877551,3.8,3.75,0,3.75,3.787878788,9,10,0,19,16,36
28,13,7,10,0,19,,2.857142857,3.8,4.25,0,4.0625,0,8,12,1,21,18,33
38,4,7,4,12,17,,3.87755102,3.4,2.75,0,1.25,4.545454545,9,3,6,18,15,31
,15,5,10,0,19,,0,3.8,3.75,0,4.6875,0,10,8,3,21,18,30
31,13,8,0,0,18,,3.163265306,3.6,2,0,4.0625,0,10,4,6,20,17,30
42,21,7,10,3,0,,4.285714286,0,4.25,0,6.5625,1.136363636,5,4,5,14,12,28
41,21,0,0,0,0,,4.183673469,0,0,0,6.5625,0,,,,0,0,11
42,8,9,6,23,11,,4.285714286,2.2,3.75,0,2.5,8.712121212,5,26,3,34,29,51
22,27,6,7,3,7,,2.244897959,1.4,3.25,0,8.4375,1.136363636,12,6,12,30,26,42
2,2,8,6,10,11,,0.204081633,2.2,3.5,0,0.625,3.787878788,18,5,15,38,33,43
0,16,7,2,12,14,,0,2.8,2.25,0,5,4.545454545,23,20,10,53,45,60
2,36,2,10,8,15,,0.204081633,3,3,0,11.25,3.03030303,7,8,14,29,25,45
11,13,3,0,6,5,,1.12244898,1,0.75,0,4.0625,2.272727273,20,17,16,53,45,55
27,38,9,4,22,10,,2.755102041,2,3.25,0,11.875,8.333333333,7,23,12,42,36,64
22,25,5,5,22,10,,2.244897959,2,2.5,0,7.8125,8.333333333,23,18,8,49,42,65
22,20,9,5,2,19,,2.244897959,3.8,3.5,0,6.25,0.757575758,17,1,14,32,27,44
38,18,6,10,11,23,,3.87755102,4.6,4,0,5.625,4.166666667,5,12,7,24,21,43
10,12,1,4,29,14,,1.020408163,2.8,1.25,0,3.75,10.98484848,9,1,4,14,12,32
10,34,1,7,22,16,,1.020408163,3.2,2,0,10.625,8.333333333,6,16,0,22,19,44
9,39,7,1,0,11,,0.918367347,2.2,2,0,12.1875,0,11,16,1,28,24,41
5,1,2,3,9,8,,0.510204082,1.6,1.25,0,0.3125,3.409090909,23,9,6,38,33,40
25,14,8,6,2,21,,2.551020408,4.2,3.5,0,4.375,0.757575758,12,7,8,27,23,39
4,14,6,1,33,23,,0.408163265,4.6,1.75,0,4.375,12.5,21,5,16,42,36,60
5,12,2,5,32,5,,0.510204082,1,1.75,0,3.75,12.12121212,19,13,13,45,39,58
31,4,1,1,33,11,,3.163265306,2.2,0.5,0,1.25,12.5,14,5,14,33,28,48
44,32,6,9,14,16,,4.489795918,3.2,3.75,0,10,5.303030303,9,11,10,30,26,52
3,27,9,7,21,16,,0.306122449,3.2,4,0,8.4375,7.954545455,1,15,15,31,27,50
16,37,5,1,22,13,,1.632653061,2.6,1.5,0,11.5625,8.333333333,3,22,1,26,22,48
7,28,5,8,5,7,,0.714285714,1.4,3.25,0,8.75,1.893939394,13,3,12,28,24,40
2,16,3,6,27,6,,0.204081633,1.2,2.25,0,5,10.22727273,25,22,5,52,45,63
3,4,4,1,1,20,,0.306122449,4,1.25,0,1.25,0.378787879,7,25,15,47,40,47
9,29,10,10,18,10,,0.918367347,2,5,0,9.0625,6.818181818,24,11,15,50,43,67
32,19,2,10,28,14,,3.265306122,2.8,3,0,5.9375,10.60606061,19,5,13,37,32,57
8,12,1,8,19,14,,0.816326531,2.8,2.25,0,3.75,7.196969697,13,8,14,35,30,47
17,5,1,4,27,23,,1.734693878,4.6,1.25,0,1.5625,10.22727273,19,6,14,39,33,53
37,7,2,6,32,2,,3.775510204,0.4,2,0,2.1875,12.12121212,21,11,8,40,34,55
29,7,1,1,20,5,,2.959183673,1,0.5,0,2.1875,7.575757576,24,3,9,36,31,45
41,22,7,7,11,0,,4.183673469,0,3.5,0,6.875,4.166666667,5,17,8,30,26,44
44,39,0,5,26,16,,4.489795918,3.2,1.25,0,12.1875,9.848484848,14,15,9,38,33,64
2,9,9,8,9,16,,0.204081633,3.2,4.25,0,2.8125,3.409090909,26,23,13,62,53,67
44,38,4,6,25,20,,4.489795918,4,2.5,0,11.875,9.46969697,24,15,16,55,47,79
16,0,4,8,24,6,,1.632653061,1.2,3,0,0,9.090909091,0,12,16,28,24,39
11,17,4,5,26,14,,1.12244898,2.8,2.25,0,5.3125,9.848484848,25,20,5,50,43,64
43,27,10,5,28,23,,4.387755102,4.6,3.75,0,8.4375,10.60606061,10,5,4,19,16,48
40,29,3,10,26,8,,4.081632653,1.6,3.25,0,9.0625,9.848484848,17,19,16,52,45,72
28,27,0,2,27,18,,2.857142857,3.6,0.5,0,8.4375,10.22727273,2,14,14,30,26,51
48,13,8,6,0,0,,4.897959184,0,3.5,0,4.0625,0,14,11,8,33,28,41
16,36,1,1,5,9,,1.632653061,1.8,0.5,0,11.25,1.893939394,17,10,11,38,33,50
47,37,2,10,13,22,,4.795918367,4.4,3,0,11.5625,4.924242424,2,17,13,32,27,56
0,29,2,5,20,7,,0,1.4,1.75,0,9.0625,7.575757576,9,16,9,34,29,49
7,7,3,8,20,22,,0.714285714,4.4,2.75,0,2.1875,7.575757576,5,21,15,41,35,53
44,40,4,9,9,4,,4.489795918,0.8,3.25,0,12.5,3.409090909,17,0,2,19,16,41
31,34,7,4,24,18,,3.163265306,3.6,2.75,0,10.625,9.090909091,12,10,10,32,27,57
34,6,5,10,15,20,,3.469387755,4,3.75,0,1.875,5.681818182,20,21,9,50,43,62
21,23,9,5,30,25,,2.142857143,5,3.5,0,7.1875,11.36363636,11,16,3,30,26,55
3,37,8,9,14,5,,0.306122449,1,4.25,0,11.5625,5.303030303,18,11,2,31,27,49
31,24,6,5,9,22,,3.163265306,4.4,2.75,0,7.5,3.409090909,21,7,11,39,33,55
39,23,9,0,23,16,,3.979591837,3.2,2.25,0,7.1875,8.712121212,7,25,15,47,40,66
9,35,6,0,4,0,,0.918367347,0,1.5,0,10.9375,1.515151515,13,24,15,52,45,59
31,40,9,8,5,21,,3.163265306,4.2,4.25,0,12.5,1.893939394,0,21,0,21,18,44
13,17,7,8,22,1,,1.326530612,0.2,3.75,0,5.3125,8.333333333,18,11,16,45,39,57
48,18,8,5,32,18,,4.897959184,3.6,3.25,0,5.625,12.12121212,26,16,2,44,38,67
47,30,10,9,13,21,,4.795918367,4.2,4.75,0,9.375,4.924242424,12,25,1,38,33,61
3,20,1,2,32,11,,0.306122449,2.2,0.75,0,6.25,12.12121212,8,20,5,33,28,50
48,33,2,7,25,3,,4.897959184,0.6,2.25,0,10.3125,9.46969697,15,20,3,38,33,60
48,39,2,10,29,6,,4.897959184,1.2,3,0,12.1875,10.98484848,16,6,11,33,28,61
49,28,4,4,31,19,,5,3.8,2,0,8.75,11.74242424,0,25,5,30,26,57
45,24,3,4,33,11,,4.591836735,2.2,1.75,0,7.5,12.5,15,2,7,24,21,49
30,11,1,1,31,12,,3.06122449,2.4,0.5,0,3.4375,11.74242424,20,8,8,36,31,52
6,4,10,3,33,17,,0.612244898,3.4,3.25,0,1.25,12.5,22,26,7,55,47,68
4,23,3,9,5,5,,0.408163265,1,3,0,7.1875,1.893939394,0,23,10,33,28,42
46,37,3,4,11,15,,4.693877551,3,1.75,0,11.5625,4.166666667,2,17,5,24,21,46
23,24,3,6,29,9,,2.346938776,1.8,2.25,0,7.5,10.98484848,12,16,13,41,35,60
27,13,5,3,12,0,,2.755102041,0,2,0,4.0625,4.545454545,2,17,12,31,27,40
47,1,7,0,12,19,,4.795918367,3.8,1.75,0,0.3125,4.545454545,22,2,15,39,33,49
23,3,8,0,21,14,,2.346938776,2.8,2,0,0.9375,7.954545455,23,13,11,47,40,56
34,11,2,5,0,7,,3.469387755,1.4,1.75,0,3.4375,0,18,16,2,36,31,41
34,26,4,9,26,0,,3.469387755,0,3.25,0,8.125,9.848484848,21,23,12,56,48,73
49,28,8,2,1,7,,5,1.4,2.5,0,8.75,0.378787879,24,0,1,25,21,39
37,16,2,4,13,14,,3.775510204,2.8,1.5,0,5,4.924242424,14,12,9,35,30,48
18,24,10,8,15,16,,1.836734694,3.2,4.5,0,7.5,5.681818182,5,25,1,31,27,49
16,21,5,2,33,22,,1.632653061,4.4,1.75,0,6.5625,12.5,14,2,9,25,21,48
14,1,8,8,4,18,,1.428571429,3.6,4,0,0.3125,1.515151515,20,5,13,38,33,43
28,24,6,3,11,24,,2.857142857,4.8,2.25,0,7.5,4.166666667,6,17,10,33,28,50
23,30,4,2,31,22,,2.346938776,4.4,1.5,0,9.375,11.74242424,17,4,10,31,27,56
18,22,7,10,16,6,,1.836734694,1.2,4.25,0,6.875,6.060606061,4,12,0,16,14,34
33,25,2,5,18,11,,3.367346939,2.2,1.75,0,7.8125,6.818181818,18,21,7,46,39,61
30,28,10,8,14,18,,3.06122449,3.6,4.5,0,8.75,5.303030303,26,18,14,58,50,75
37,5,5,9,29,13,,3.775510204,2.6,3.5,0,1.5625,10.98484848,21,15,11,47,40,63
35,2,10,10,0,22,,3.571428571,4.4,5,0,0.625,0,10,18,10,38,33,46
12,4,0,7,10,5,,1.224489796,1,1.75,0,1.25,3.787878788,11,23,0,34,29,38
18,14,10,0,18,10,,1.836734694,2,2.5,0,4.375,6.818181818,10,10,6,26,22,40
12,14,5,0,32,25,,1.224489796,5,1.25,0,4.375,12.12121212,8,23,5,36,31,55
26,33,8,2,23,7,,2.653061224,1.4,2.5,0,10.3125,8.712121212,14,20,4,38,33,58
29,27,9,4,23,17,,2.959183673,3.4,3.25,0,8.4375,8.712121212,18,5,0,23,20,46
12,37,6,3,1,0,,1.224489796,0,2.25,0,11.5625,0.378787879,2,22,3,27,23,39
39,32,4,0,4,24,,3.979591837,4.8,1,0,10,1.515151515,25,1,13,39,33,55
40,32,0,6,16,23,,4.081632653,4.6,1.5,0,10,6.060606061,3,24,8,35,30,56
41,22,10,4,31,5,,4.183673469,1,3.5,0,6.875,11.74242424,20,20,6,46,39,67
17,14,3,6,9,14,,1.734693878,2.8,2.25,0,4.375,3.409090909,27,2,12,41,35,50
1,7,0,1,4,4,,0.102040816,0.8,0.25,0,2.1875,1.515151515,25,23,2,50,43,48
44,23,2,3,5,11,,4.489795918,2.2,1.25,0,7.1875,1.893939394,0,22,8,30,26,43
43,37,10,8,17,15,,4.387755102,3,4.5,0,11.5625,6.439393939,20,17,7,44,38,68
32,40,3,7,13,13,,3.265306122,2.6,2.5,0,12.5,4.924242424,19,6,16,41,35,61
47,39,5,10,19,16,,4.795918367,3.2,3.75,0,12.1875,7.196969697,27,27,7,61,52,83
13,40,4,7,27,15,,1.326530612,3,2.75,0,12.5,10.22727273,18,4,10,32,27,57
35,28,7,3,28,1,,3.571428571,0.2,2.5,0,8.75,10.60606061,15,2,4,21,18,44
27,38,7,10,33,16,,2.755102041,3.2,4.25,0,11.875,12.5,14,11,12,37,32,66
28,3,10,8,21,5,,2.857142857,1,4.5,0,0.9375,7.954545455,23,10,7,40,34,52
48,39,7,5,14,17,,4.897959184,3.4,3,0,12.1875,5.303030303,27,11,4,42,36,65
23,15,4,5,8,2,,2.346938776,0.4,2.25,0,4.6875,3.03030303,16,19,10,45,39,51
2,22,6,0,10,24,,0.204081633,4.8,1.5,0,6.875,3.787878788,12,20,5,37,32,49
16,0,0,5,28,21,,1.632653061,4.2,1.25,0,0,10.60606061,21,14,13,48,41,59
23,32,1,9,15,20,,2.346938776,4,2.5,0,10,5.681818182,14,9,13,36,31,55
43,36,6,8,4,4,,4.387755102,0.8,3.5,0,11.25,1.515151515,0,20,15,35,30,51
8,29,9,6,11,3,,0.816326531,0.6,3.75,0,9.0625,4.166666667,23,6,16,45,39,57
23,8,7,3,30,14,,2.346938776,2.8,2.5,0,2.5,11.36363636,6,3,15,24,21,42
32,11,4,4,22,2,,3.265306122,0.4,2,0,3.4375,8.333333333,15,27,0,42,36,53
47,34,4,6,11,19,,4.795918367,3.8,2.5,0,10.625,4.166666667,24,21,5,50,43,69
39,8,10,7,19,2,,3.979591837,0.4,4.25,0,2.5,7.196969697,24,13,13,50,43,61
6,10,10,10,9,4,,0.612244898,0.8,5,0,3.125,3.409090909,11,7,2,20,17,30
20,29,9,2,2,12,,2.040816327,2.4,2.75,0,9.0625,0.757575758,23,26,10,59,51,68
21,7,9,3,4,15,,2.142857143,3,3,0,2.1875,1.515151515,4,11,15,30,26,38
32,31,7,6,15,5,,3.265306122,1,3.25,0,9.6875,5.681818182,19,27,7,53,45,68
40,28,2,4,7,8,,4.081632653,1.6,1.5,0,8.75,2.651515152,6,17,7,30,26,44
28,13,10,10,16,9,,2.857142857,1.8,5,0,4.0625,6.060606061,26,13,15,54,46,66
37,35,7,1,8,25,,3.775510204,5,2,0,10.9375,3.03030303,25,26,2,53,45,70
38,28,6,0,31,19,,3.87755102,3.8,1.5,0,8.75,11.74242424,24,21,15,60,51,81
42,36,9,5,24,8,,4.285714286,1.6,3.5,0,11.25,9.090909091,12,26,5,43,37,67
34,8,1,10,21,11,,3.469387755,2.2,2.75,0,2.5,7.954545455,4,13,12,29,25,44
14,10,7,5,11,17,,1.428571429,3.4,3,0,3.125,4.166666667,6,5,9,20,17,32
23,36,2,4,13,4,,2.346938776,0.8,1.5,0,11.25,4.924242424,6,15,3,24,21,41
26,0,7,4,22,7,,2.653061224,1.4,2.75,0,0,8.333333333,12,12,16,40,34,49
14,5,7,6,31,7,,1.428571429,1.4,3.25,0,1.5625,11.74242424,21,23,12,56,48,67
21,21,7,8,33,15,,2.142857143,3,3.75,0,6.5625,12.5,6,10,16,32,27,55
15,37,5,3,23,24,,1.530612245,4.8,2,0,11.5625,8.712121212,20,16,6,42,36,65
0,38,0,1,26,1,,0,0.2,0.25,0,11.875,9.848484848,16,10,6,32,27,50
11,20,9,0,6,11,,1.12244898,2.2,2.25,0,6.25,2.272727273,21,1,16,38,33,47
20,20,8,4,33,4,,2.040816327,0.8,3,0,6.25,12.5,0,22,9,31,27,51
29,37,0,4,16,18,,2.959183673,3.6,1,0,11.5625,6.060606061,11,9,8,28,24,49
33,24,4,3,7,23,,3.367346939,4.6,1.75,0,7.5,2.651515152,24,26,8,58,50,70
28,9,1,0,33,7,,2.857142857,1.4,0.25,0,2.8125,12.5,24,24,1,49,42,62
7,5,4,9,1,17,,0.714285714,3.4,3.25,0,1.5625,0.378787879,27,6,5,38,33,42
13,13,8,9,5,11,,1.326530612,2.2,4.25,0,4.0625,1.893939394,26,25,8,59,51,64
35,5,2,5,2,10,,3.571428571,2,1.75,0,1.5625,0.757575758,15,6,3,24,21,30
19,24,5,3,1,4,,1.93877551,0.8,2,0,7.5,0.378787879,16,6,1,23,20,32
11,29,5,0,3,6,,1.12244898,1.2,1.25,0,9.0625,1.136363636,27,13,12,52,45,58
