A1(5%),A2(5%),A3(5%),A4(3%),Assignments(15%),T1(12.5%),T2(12.5%),Tests(25%),CW(40%),Q1(27),Q2(27),Q3(16),Final(70),Scaled Final(60%),Total Score(100%)
1.428571429,3.8,4.25,2.4,12,7.1875,7.196969697,14,26,22,24,7,53,45,72
4.387755102,4.6,4.25,0,13,5.625,2.651515152,8,22,26,17,15,58,50,71
3.571428571,4,4.5,0,12,4.6875,1.515151515,6,18,27,22,4,53,45,64
4.183673469,4,3.75,0,12,4.375,7.196969697,12,24,14,18,14,46,39,63
1.93877551,4,3.25,0,9,6.875,7.954545455,15,24,19,12,14,45,39,63
3.265306122,4,3.75,0,11,4.6875,3.03030303,8,19,13,25,13,51,44,62
4.183673469,4,3.75,0,12,6.875,3.787878788,11,23,12,20,13,45,39,61
3.367346939,4,4.5,0,12,4.6875,3.409090909,8,20,13,26,6,45,39,59
4.285714286,3.8,4,0,12,6.25,6.060606061,12,24,17,17,4,38,33,57
3.469387755,3.8,3.75,0,11,6.5625,8.333333333,15,26,8,18,6,36,31,57
4.183673469,3.8,4,0,12,7.1875,3.03030303,10,22,16,13,10,39,33,56
3.571428571,3.8,4.25,0,12,8.4375,1.515151515,10,22,18,14,7,39,33,55
4.081632653,3,2.25,0,9,3.75,1.893939394,6,15,18,21,7,46,39,54
2.959183673,3.8,4.5,0,11,5,4.924242424,10,21,15,15,6,36,31,52
1.93877551,3.4,0,0,5,5.9375,6.439393939,12,18,15,12,13,40,34,52
0.102040816,3.8,4.5,0,8,3.4375,3.03030303,6,15,26,11,5,42,36,51
3.163265306,4,4.5,0,12,3.4375,4.545454545,8,20,9,20,1,30,26,45
3.87755102,3.8,1.75,0,9,9.6875,5.681818182,15,25,3,14,6,23,20,45
2.959183673,3.4,2.75,0,9,1.875,4.166666667,6,15,17,13,3,33,28,43
2.448979592,0,2.25,0,5,8.75,3.03030303,12,16,8,12,11,31,27,43
3.571428571,3.6,2,0,9,4.0625,2.272727273,6,16,16,10,6,32,27,43
2.653061224,3.8,1.75,0,8,3.75,3.03030303,7,15,8,12,11,31,27,42
3.571428571,3.8,4.5,0,12,3.4375,2.651515152,6,18,10,12,4,26,22,40
2.653061224,3.8,1.75,0,8,4.0625,2.651515152,7,15,8,11,10,29,25,40
2.244897959,0,1.25,0,3,3.75,3.787878788,8,11,17,7,6,30,26,37
4.693877551,3.8,3.75,0,12,3.75,3.787878788,8,20,9,10,0,19,16,36
2.857142857,3.8,4.25,0,11,4.0625,0,4,15,8,12,1,21,18,33
3.87755102,3.4,2.75,0,10,1.25,4.545454545,6,16,9,3,6,18,15,31
0,3.8,3.75,0,8,4.6875,0,5,12,10,8,3,21,18,30
3.163265306,3.6,2,0,9,4.0625,0,4,13,10,4,6,20,17,30
4.285714286,0,4.25,0,9,6.5625,1.136363636,8,16,5,4,5,14,12,28
4.183673469,0,0,0,4,6.5625,0,7,11,,,,0,0,11
4.285714286,2.2,3.75,0,10,2.5,8.712121212,11,21,5,26,3,34,29,51
2.244897959,1.4,3.25,0,7,8.4375,1.136363636,10,16,12,6,12,30,26,42
0.204081633,2.2,3.5,0,6,0.625,3.787878788,4,10,18,5,15,38,33,43
0,2.8,2.25,0,5,5,4.545454545,10,15,23,20,10,53,45,60
0.204081633,3,3,0,6,11.25,3.03030303,14,20,7,8,14,29,25,45
1.12244898,1,0.75,0,3,4.0625,2.272727273,6,9,20,17,16,53,45,55
2.755102041,2,3.25,0,8,11.875,8.333333333,20,28,7,23,12,42,36,64
2.244897959,2,2.5,0,7,7.8125,8.333333333,16,23,23,18,8,49,42,65
2.244897959,3.8,3.5,0,10,6.25,0.757575758,7,17,17,1,14,32,27,44
3.87755102,4.6,4,0,12,5.625,4.166666667,10,22,5,12,7,24,21,43
1.020408163,2.8,1.25,0,5,3.75,10.98484848,15,20,9,1,4,14,12,32
1.020408163,3.2,2,0,6,10.625,8.333333333,19,25,6,16,0,22,19,44
0.918367347,2.2,2,0,5,12.1875,0,12,17,11,16,1,28,24,41
0.510204082,1.6,1.25,0,3,0.3125,3.409090909,4,7,23,9,6,38,33,40
2.551020408,4.2,3.5,0,10,4.375,0.757575758,5,15,12,7,8,27,23,39
0.408163265,4.6,1.75,0,7,4.375,12.5,17,24,21,5,16,42,36,60
0.510204082,1,1.75,0,3,3.75,12.12121212,16,19,19,13,13,45,39,58
3.163265306,2.2,0.5,0,6,1.25,12.5,14,20,14,5,14,33,28,48
4.489795918,3.2,3.75,0,11,10,5.303030303,15,27,9,11,10,30,26,52
0.306122449,3.2,4,0,8,8.4375,7.954545455,16,24,1,15,15,31,27,50
1.632653061,2.6,1.5,0,6,11.5625,8.333333333,20,26,3,22,1,26,22,48
0.714285714,1.4,3.25,0,5,8.75,1.893939394,11,16,13,3,12,28,24,40
0.204081633,1.2,2.25,0,4,5,10.22727273,15,19,25,22,5,52,45,63
0.306122449,4,1.25,0,6,1.25,0.378787879,2,7,7,25,15,47,40,47
0.918367347,2,5,0,8,9.0625,6.818181818,16,24,24,11,15,50,43,67
3.265306122,2.8,3,0,9,5.9375,10.60606061,17,26,19,5,13,37,32,57
0.816326531,2.8,2.25,0,6,3.75,7.196969697,11,17,13,8,14,35,30,47
1.734693878,4.6,1.25,0,8,1.5625,10.22727273,12,19,19,6,14,39,33,53
3.775510204,0.4,2,0,6,2.1875,12.12121212,14,20,21,11,8,40,34,55
2.959183673,1,0.5,0,4,2.1875,7.575757576,10,14,24,3,9,36,31,45
4.183673469,0,3.5,0,8,6.875,4.166666667,11,19,5,17,8,30,26,44
4.489795918,3.2,1.25,0,9,12.1875,9.848484848,22,31,14,15,9,38,33,64
0.204081633,3.2,4.25,0,8,2.8125,3.409090909,6,14,26,23,13,62,53,67
4.489795918,4,2.5,0,11,11.875,9.46969697,21,32,24,15,16,55,47,79
1.632653061,1.2,3,0,6,0,9.090909091,9,15,0,12,16,28,24,39
1.12244898,2.8,2.25,0,6,5.3125,9.848484848,15,21,25,20,5,50,43,64
4.387755102,4.6,3.75,0,13,8.4375,10.60606061,19,32,10,5,4,19,16,48
4.081632653,1.6,3.25,0,9,9.0625,9.848484848,19,28,17,19,16,52,45,72
2.857142857,3.6,0.5,0,7,8.4375,10.22727273,19,26,2,14,14,30,26,51
4.897959184,0,3.5,0,8,4.0625,0,4,12,14,11,8,33,28,41
1.632653061,1.8,0.5,0,4,11.25,1.893939394,13,17,17,10,11,38,33,50
4.795918367,4.4,3,0,12,11.5625,4.924242424,16,29,2,17,13,32,27,56
0,1.4,1.75,0,3,9.0625,7.575757576,17,20,9,16,9,34,29,49
0.714285714,4.4,2.75,0,8,2.1875,7.575757576,10,18,5,21,15,41,35,53
4.489795918,0.8,3.25,0,9,12.5,3.409090909,16,24,17,0,2,19,16,41
3.163265306,3.6,2.75,0,10,10.625,9.090909091,20,29,12,10,10,32,27,57
3.469387755,4,3.75,0,11,1.875,5.681818182,8,19,20,21,9,50,43,62
2.142857143,5,3.5,0,11,7.1875,11.36363636,19,29,11,16,3,30,26,55
0.306122449,1,4.25,0,6,11.5625,5.303030303,17,22,18,11,2,31,27,49
3.163265306,4.4,2.75,0,10,7.5,3.409090909,11,21,21,7,11,39,33,55
3.979591837,3.2,2.25,0,9,7.1875,8.712121212,16,25,7,25,15,47,40,66
0.918367347,0,1.5,0,2,10.9375,1.515151515,12,15,13,24,15,52,45,59
3.163265306,4.2,4.25,0,12,12.5,1.893939394,14,26,0,21,0,21,18,44
1.326530612,0.2,3.75,0,5,5.3125,8.333333333,14,19,18,11,16,45,39,57
4.897959184,3.6,3.25,0,12,5.625,12.12121212,18,29,26,16,2,44,38,67
4.795918367,4.2,4.75,0,14,9.375,4.924242424,14,28,12,25,1,38,33,61
0.306122449,2.2,0.75,0,3,6.25,12.12121212,18,22,8,20,5,33,28,50
4.897959184,0.6,2.25,0,8,10.3125,9.46969697,20,28,15,20,3,38,33,60
4.897959184,1.2,3,0,9,12.1875,10.98484848,23,32,16,6,11,33,28,61
5,3.8,2,0,11,8.75,11.74242424,20,31,0,25,5,30,26,57
4.591836735,2.2,1.75,0,9,7.5,12.5,20,29,15,2,7,24,21,49
3.06122449,2.4,0.5,0,6,3.4375,11.74242424,15,21,20,8,8,36,31,52
0.612244898,3.4,3.25,0,7,1.25,12.5,14,21,22,26,7,55,47,68
0.408163265,1,3,0,4,7.1875,1.893939394,9,13,0,23,10,33,28,42
4.693877551,3,1.75,0,9,11.5625,4.166666667,16,25,2,17,5,24,21,46
2.346938776,1.8,2.25,0,6,7.5,10.98484848,18,25,12,16,13,41,35,60
2.755102041,0,2,0,5,4.0625,4.545454545,9,13,2,17,12,31,27,40
4.795918367,3.8,1.75,0,10,0.3125,4.545454545,5,15,22,2,15,39,33,49
2.346938776,2.8,2,0,7,0.9375,7.954545455,9,16,23,13,11,47,40,56
3.469387755,1.4,1.75,0,7,3.4375,0,3,10,18,16,2,36,31,41
3.469387755,0,3.25,0,7,8.125,9.848484848,18,25,21,23,12,56,48,73
5,1.4,2.5,0,9,8.75,0.378787879,9,18,24,0,1,25,21,39
3.775510204,2.8,1.5,0,8,5,4.924242424,10,18,14,12,9,35,30,48
1.836734694,3.2,4.5,0,10,7.5,5.681818182,13,23,5,25,1,31,27,49
1.632653061,4.4,1.75,0,8,6.5625,12.5,19,27,14,2,9,25,21,48
1.428571429,3.6,4,0,9,0.3125,1.515151515,2,11,20,5,13,38,33,43
2.857142857,4.8,2.25,0,10,7.5,4.166666667,12,22,6,17,10,33,28,50
2.346938776,4.4,1.5,0,8,9.375,11.74242424,21,29,17,4,10,31,27,56
1.836734694,1.2,4.25,0,7,6.875,6.060606061,13,20,4,12,0,16,14,34
3.367346939,2.2,1.75,0,7,7.8125,6.818181818,15,22,18,21,7,46,39,61
3.06122449,3.6,4.5,0,11,8.75,5.303030303,14,25,26,18,14,58,50,75
3.775510204,2.6,3.5,0,10,1.5625,10.98484848,13,22,21,15,11,47,40,63
3.571428571,4.4,5,0,13,0.625,0,1,14,10,18,10,38,33,46
1.224489796,1,1.75,0,4,1.25,3.787878788,5,9,11,23,0,34,29,38
1.836734694,2,2.5,0,6,4.375,6.818181818,11,18,10,10,6,26,22,40
1.224489796,5,1.25,0,7,4.375,12.12121212,16,24,8,23,5,36,31,55
2.653061224,1.4,2.5,0,7,10.3125,8.712121212,19,26,14,20,4,38,33,58
2.959183673,3.4,3.25,0,10,8.4375,8.712121212,17,27,18,5,0,23,20,46
1.224489796,0,2.25,0,3,11.5625,0.378787879,12,15,2,22,3,27,23,39
3.979591837,4.8,1,0,10,10,1.515151515,12,21,25,1,13,39,33,55
4.081632653,4.6,1.5,0,10,10,6.060606061,16,26,3,24,8,35,30,56
4.183673469,1,3.5,0,9,6.875,11.74242424,19,27,20,20,6,46,39,67
1.734693878,2.8,2.25,0,7,4.375,3.409090909,8,15,27,2,12,41,35,50
0.102040816,0.8,0.25,0,1,2.1875,1.515151515,4,5,25,23,2,50,43,48
4.489795918,2.2,1.25,0,8,7.1875,1.893939394,9,17,0,22,8,30,26,43
4.387755102,3,4.5,0,12,11.5625,6.439393939,18,30,20,17,7,44,38,68
3.265306122,2.6,2.5,0,8,12.5,4.924242424,17,26,19,6,16,41,35,61
4.795918367,3.2,3.75,0,12,12.1875,7.196969697,19,31,27,27,7,61,52,83
1.326530612,3,2.75,0,7,12.5,10.22727273,23,30,18,4,10,32,27,57
3.571428571,0.2,2.5,0,6,8.75,10.60606061,19,26,15,2,4,21,18,44
2.755102041,3.2,4.25,0,10,11.875,12.5,24,35,14,11,12,37,32,66
2.857142857,1,4.5,0,8,0.9375,7.954545455,9,17,23,10,7,40,34,52
4.897959184,3.4,3,0,11,12.1875,5.303030303,17,29,27,11,4,42,36,65
2.346938776,0.4,2.25,0,5,4.6875,3.03030303,8,13,16,19,10,45,39,51
0.204081633,4.8,1.5,0,7,6.875,3.787878788,11,17,12,20,5,37,32,49
1.632653061,4.2,1.25,0,7,0,10.60606061,11,18,21,14,13,48,41,59
2.346938776,4,2.5,0,9,10,5.681818182,16,25,14,9,13,36,31,55
4.387755102,0.8,3.5,0,9,11.25,1.515151515,13,21,0,20,15,35,30,51
0.816326531,0.6,3.75,0,5,9.0625,4.166666667,13,18,23,6,16,45,39,57
2.346938776,2.8,2.5,0,8,2.5,11.36363636,14,22,6,3,15,24,21,42
3.265306122,0.4,2,0,6,3.4375,8.333333333,12,17,15,27,0,42,36,53
4.795918367,3.8,2.5,0,11,10.625,4.166666667,15,26,24,21,5,50,43,69
3.979591837,0.4,4.25,0,9,2.5,7.196969697,10,18,24,13,13,50,43,61
0.612244898,0.8,5,0,6,3.125,3.409090909,7,13,11,7,2,20,17,30
2.040816327,2.4,2.75,0,7,9.0625,0.757575758,10,17,23,26,10,59,51,68
2.142857143,3,3,0,8,2.1875,1.515151515,4,12,4,11,15,30,26,38
3.265306122,1,3.25,0,8,9.6875,5.681818182,15,23,19,27,7,53,45,68
4.081632653,1.6,1.5,0,7,8.75,2.651515152,11,19,6,17,7,30,26,44
2.857142857,1.8,5,0,10,4.0625,6.060606061,10,20,26,13,15,54,46,66
3.775510204,5,2,0,11,10.9375,3.03030303,14,25,25,26,2,53,45,70
3.87755102,3.8,1.5,0,9,8.75,11.74242424,20,30,24,21,15,60,51,81
4.285714286,1.6,3.5,0,9,11.25,9.090909091,20,30,12,26,5,43,37,67
3.469387755,2.2,2.75,0,8,2.5,7.954545455,10,19,4,13,12,29,25,44
1.428571429,3.4,3,0,8,3.125,4.166666667,7,15,6,5,9,20,17,32
2.346938776,0.8,1.5,0,5,11.25,4.924242424,16,21,6,15,3,24,21,41
2.653061224,1.4,2.75,0,7,0,8.333333333,8,15,12,12,16,40,34,49
1.428571429,1.4,3.25,0,6,1.5625,11.74242424,13,19,21,23,12,56,48,67
2.142857143,3,3.75,0,9,6.5625,12.5,19,28,6,10,16,32,27,55
1.530612245,4.8,2,0,8,11.5625,8.712121212,20,29,20,16,6,42,36,65
0,0.2,0.25,0,0,11.875,9.848484848,22,22,16,10,6,32,27,50
1.12244898,2.2,2.25,0,6,6.25,2.272727273,9,14,21,1,16,38,33,47
2.040816327,0.8,3,0,6,6.25,12.5,19,25,0,22,9,31,27,51
2.959183673,3.6,1,0,8,11.5625,6.060606061,18,25,11,9,8,28,24,49
3.367346939,4.6,1.75,0,10,7.5,2.651515152,10,20,24,26,8,58,50,70
2.857142857,1.4,0.25,0,5,2.8125,12.5,15,20,24,24,1,49,42,62
0.714285714,3.4,3.25,0,7,1.5625,0.378787879,2,9,27,6,5,38,33,42
1.326530612,2.2,4.25,0,8,4.0625,1.893939394,6,14,26,25,8,59,51,64
3.571428571,2,1.75,0,7,1.5625,0.757575758,2,10,15,6,3,24,21,30
1.93877551,0.8,2,0,5,7.5,0.378787879,8,13,16,6,1,23,20,32
1.12244898,1.2,1.25,0,4,9.0625,1.136363636,10,14,27,13,12,52,45,58
3.87755102,3.2,2.75,0,10,10.9375,3.03030303,14,24,14,21,8,43,37,61
